filename,exertion,task
d07_P11_7_0_clip_1_first.wav,3,1
d07_P11_7_0_clip_3.wav,3,3
d07_P11_7_1_clip_1_first.wav,3,1
d07_P11_7_1_clip_3_first.wav,3,3
d08_P01_10_0_clip_1.wav,4,1
d08_P01_10_1_clip_1.wav,4,1
d08_P01_10_3_clip_1.wav,4,1
d08_P01_10_4_clip_1_first.wav,4,1
d09_P15_5_0_clip_1.wav,1,1
d09_P15_5_0_clip_3_first.wav,1,3
d09_P15_6_0_clip_1.wav,1,1
d09_P15_6_0_clip_3.wav,1,3
d09_P15_7_0_clip_1_first.wav,2,1
d09_P15_7_0_clip_3_first.wav,2,3
d09_P38_6_0_clip_1.wav,2,1
d09_P38_6_0_clip_3_first.wav,2,3
d09_P38_7_0_clip_3.wav,3,3
d10_P17_8_0_clip_1.wav,2,1
d10_P17_9_0_clip_1.wav,3,1
d10_P17_9_1_clip_1_first.wav,3,1
d10_P49_10_0_clip_1.wav,3,1
d10_P49_8_0_clip_1.wav,2,1
d10_P49_9_0_clip_1.wav,3,1
d11_P18_5_0_clip_1.wav,3,1
d11_P18_5_0_clip_3.wav,3,3
d11_P18_6_0_clip_1.wav,4,1
d12_P19_5_0_clip_1_first.wav,1,1
d12_P19_6_0_clip_1.wav,2,1
d12_P19_7_0_clip_1_first.wav,3,1
d12_P19_8_0_clip_1.wav,4,1
d12_P25_6_0_clip_1.wav,3,1
d12_P25_7_0_clip_1.wav,4,1
d13_P17_8_0_clip_1.wav,3,1
d13_P17_8_1_clip_1.wav,3,1
d13_P17_9_0_clip_1.wav,4,1
d14_P20_5_0_clip_1_first.wav,2,1
d14_P20_5_0_clip_3.wav,2,3
d14_P20_5_1_clip_1.wav,2,1
d14_P20_5_1_clip_3.wav,2,3
d14_P20_5_2_clip_1.wav,2,1
d14_P20_5_2_clip_3.wav,2,3
d14_P20_6_0_clip_1.wav,3,1
d14_P20_6_1_clip_1.wav,3,1
d14_P20_6_1_clip_3_first.wav,3,3
d14_P20_7_0_clip_3.wav,4,3
d15_P17_10_1_clip_1.wav,4,1
d15_P17_10_2_clip_1.wav,4,1
d15_P17_10_3_clip_1.wav,4,1
d15_P21_5_1_clip_1.wav,4,1
d15_P21_6_1_clip_1.wav,4,1
d15_P21_7_1_clip_1_first.wav,5,1
d15_P49_7_0_clip_1.wav,2,1
d15_P49_8_0_clip_1.wav,3,1
d15_P49_9_0_clip_1_first.wav,3,1
d16_P29_10_0_clip_1.wav,4,1
d16_P29_8_0_clip_1.wav,3,1
d16_P48_6_0_clip_1_first.wav,1,1
d16_P48_7_0_clip_1.wav,2,1
d16_P48_9_0_clip_1.wav,4,1
d18_P24_10_0_clip_1.wav,4,1
d19_P26_5_0_clip_1.wav,1,1
d19_P26_5_0_clip_3.wav,1,3
d19_P26_6_0_clip_1.wav,2,1
d20_P01_6_0_clip_1.wav,2,1
d20_P01_6_0_clip_3.wav,2,3
d20_P01_6_1_clip_1.wav,2,1
d20_P01_6_1_clip_3.wav,2,3
d20_P18_5_0_clip_1.wav,3,1
d20_P18_5_0_clip_3.wav,3,3
d20_P18_5_1_clip_1.wav,3,1
d20_P18_5_1_clip_3.wav,3,3
d20_P18_5_2_clip_1.wav,3,1
d20_P18_5_2_clip_3.wav,3,3
d21_P27_6_0_clip_1_first.wav,2,1
d21_P27_7_0_clip_1.wav,2,1
d21_P43_5_0_clip_1.wav,2,1
d21_P50_5_0_clip_1.wav,2,1
d21_P50_5_0_clip_3.wav,2,3
d21_P51_5_0_clip_1_first.wav,2,1
d21_P51_5_0_clip_3_first.wav,2,3
d22_P28_7_0_clip_1.wav,2,1
d22_P28_9_0_clip_1.wav,4,1
d23_P18_5_1_clip_1.wav,3,1
d23_P18_5_1_clip_3.wav,3,3
d23_P18_6_0_clip_1.wav,4,1
d24_P10_6_0_clip_1.wav,2,1
d24_P10_6_0_clip_3.wav,2,3
d24_P10_6_1_clip_1.wav,2,1
d24_P10_6_1_clip_3.wav,2,3
d24_P10_7_0_clip_1_first.wav,3,1
d24_P10_7_0_clip_3.wav,3,3
d24_P18_5_1_clip_1.wav,3,1
d25_P11_5_0_clip_1.wav,2,1
d25_P11_6_0_clip_1.wav,2,1
d25_P11_7_0_clip_1.wav,3,1
d26_P31_5_0_clip_1_first.wav,3,1
d26_P31_6_0_clip_1_first.wav,3,1
d26_P31_7_0_clip_1_first.wav,4,1
d27_P32_5_0_clip_1_first.wav,3,1
d27_P32_6_0_clip_1_first.wav,4,1
d27_P32_6_0_clip_3.wav,4,3
d28_P33_10_0_clip_1.wav,3,1
d28_P33_6_0_clip_1_first.wav,2,1
d28_P33_8_0_clip_1_first.wav,2,1
d28_P37_10_0_clip_1_first.wav,2,1
d28_P37_6_0_clip_1.wav,2,1
d28_P37_6_1_clip_1.wav,2,1
d28_P37_7_0_clip_1_first.wav,3,1
d28_P42_10_0_clip_1.wav,4,1
d28_P42_6_0_clip_1.wav,1,1
d28_P42_9_0_clip_1.wav,4,1
d28_P44_6_0_clip_1_first.wav,2,1
d28_P44_7_0_clip_1.wav,3,1
d28_P44_8_0_clip_1.wav,4,1
d28_P47_6_0_clip_1.wav,2,1
d28_P47_9_0_clip_1.wav,4,1
d29_P18_6_0_clip_1.wav,4,1
d29_P18_6_0_clip_3.wav,4,3
d29_P18_6_1_clip_3.wav,4,3
d29_P18_6_2_clip_1.wav,4,1
d29_P18_6_2_clip_3_first.wav,4,3
d30_P34_5_0_clip_1.wav,1,1
d30_P34_7_0_clip_1.wav,2,1
d30_P34_8_0_clip_1.wav,3,1
d30_P34_9_0_clip_1.wav,4,1
d30_P36_10_0_clip_1.wav,4,1
d30_P36_5_0_clip_1_first.wav,1,1
d30_P36_8_0_clip_1.wav,3,1
d32_P11_6_0_clip_1.wav,2,1
d32_P11_7_0_clip_1.wav,3,1
d32_P35_5_0_clip_1.wav,2,1
d33_P39_10_0_clip_1.wav,4,1
d33_P39_10_1_clip_3_first.wav,4,3
d33_P39_10_2_clip_1.wav,4,1
d33_P39_8_0_clip_1_first.wav,2,1
d33_P39_8_0_clip_3_first.wav,2,3
d33_P39_9_0_clip_1.wav,3,1
d34_P18_5_0_clip_1.wav,3,1
d34_P18_5_1_clip_1.wav,3,1
d35_P41_5_1_clip_1.wav,2,1
d35_P41_5_1_clip_3_first.wav,2,3
d35_P41_6_0_clip_3_first.wav,3,3
d35_P41_6_1_clip_1.wav,3,1
d35_P41_6_1_clip_3_first.wav,3,3
d36_P39_7_0_clip_1.wav,1,1
d36_P39_7_0_clip_3.wav,1,3
d37_P11_6_0_clip_3.wav,2,3
d37_P11_6_1_clip_1.wav,2,1
d37_P11_6_1_clip_3_first.wav,2,3
d37_P11_7_0_clip_1_first.wav,3,1
d37_P11_7_1_clip_1.wav,3,1
d37_P11_7_1_clip_3_first.wav,3,3
d37_P16_6_0_clip_1_first.wav,2,1
d37_P16_6_0_clip_3.wav,2,3
d37_P16_7_0_clip_1.wav,3,1
d38_P01_9_2_clip_1.wav,4,1
d39_P46_5_0_clip_1.wav,2,1
d40_P24_10_0_clip_1.wav,4,1
d40_P24_6789_0_clip_1.wav,2,1
d40_P24_8_0_clip_1_first.wav,2,1
d41_P18_5_0_clip_1.wav,3,1
d42_P18_6_0_clip_1.wav,4,1
d43_P49_10_0_clip_1_first.wav,4,1
d43_P49_8_0_clip_1.wav,2,1
d44_P52_5_0_clip_1_first.wav,1,1
d44_P52_8_0_clip_1.wav,4,1
d44_P52_9_0_clip_1_first.wav,5,1
d45_P54_5_0_clip_1_first.wav,2,1
d46_P04_6_0_clip_1_first.wav,1,1
d47_P59_6_0_clip_1_first.wav,2,1
